product_id,product_title,category_id,category_name,price,list_price,rating,review_count,has_rating,weighted_score,units_sold_last_month,is_best_seller,has_title,image_url,product_url,price_segment,popularity_tier,units_norm,wscore_norm,strategic_score,category_rank,is_top_10_category
B082MHLDQJ,"SUNNEST Solar Lights Outdoor Christmas, 12Pack Stainless Steel Outdoor Solar Lights - Waterproof, LED Landscape Lighting Solar Powered Outdoor Lights Solar Garden Lights for Pathway Patio Yard",209,Lighting & Ceiling Fans,19.99,0.0,3.8,0,True,0.0,900,False,True,https://m.media-amazon.com/images/I/61seW4GA-nL._AC_UL320_.jpg,https://www.amazon.com/dp/B082MHLDQJ,mid,high,0.15,0.0,0.060000002,73,False
B08CRZRGX5,4Pcs Magic Headwear Neck Gaiter Tube Scarf Headbands Bandana Balaclava for Outdoor Running Cycling Skating Work Out,112,Men's Accessories,15.99,0.0,4.5,1259,True,32.1249,0,False,True,https://m.media-amazon.com/images/I/71HaOiXOvxL._AC_UL320_.jpg,https://www.amazon.com/dp/B08CRZRGX5,mid,low,0.0,0.7511817,0.41314995,70,False
B08KWHJTJP,"Scotch Box Lock Packaging Tape, 2 Rolls with 1 Refillable Dispenser, 1.88 in x 54.6 yd, Extreme Grip, Sticks Instantly to Any Box",160,Packaging & Shipping Supplies,15.98,24.15,4.8,0,True,0.0,600,False,True,https://m.media-amazon.com/images/I/51VFG45yJRL._AC_UL320_.jpg,https://www.amazon.com/dp/B08KWHJTJP,mid,high,0.06,0.0,0.024,90,False
B08FQRW91G,"Self Sealing Cookie Bags,6x9 Inches 200 Pcs Clear Resealable Cellophane Bag for Packaging Gifts,Favors,Products,Candy",12,Gift Wrapping Supplies,9.99,10.99,4.7,0,True,0.0,2000,False,True,https://m.media-amazon.com/images/I/61sEAbotGWL._AC_UL320_.jpg,https://www.amazon.com/dp/B08FQRW91G,budget,high,0.4,0.0,0.16,6,True
B093P3RHQS,Honeywell Home RCHT8610WF T5 Smart Thermostat + RPLS740B Programmable Light Switch,194,Smart Home Thermostats - Compatibility Checker,146.08,202.98,4.2,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/31wkObKbrpL._AC_UY218_.jpg,https://www.amazon.com/dp/B093P3RHQS,luxury,medium,0.0,0.0,0.0,4,True
B0000C1GUF,Elastic Baseball Belt with 1.5-Inch Synthetic Tab,112,Men's Accessories,7.75,13.95,4.5,1658,True,33.362865,0,False,True,https://m.media-amazon.com/images/I/71ULQnv8EhL._AC_UL320_.jpg,https://www.amazon.com/dp/B0000C1GUF,budget,low,0.0,0.7801292,0.42907107,45,False
B07SGQJ6C9,X XINDELL Windshield Cleaner -Microfiber Car Window Cleaning Tool with Extendable Handle and Washable Reusable Cloth Pad Head Auto Interior Exterior Glass Wiper Car Glass Cleaner Kit (Extendable),17,Automotive Tools & Equipment,13.99,18.49,4.3,17116,True,41.915657,4000,True,True,https://m.media-amazon.com/images/I/61fgac5cFyL._AC_UL320_.jpg,https://www.amazon.com/dp/B07SGQJ6C9,mid,high,0.2,0.7818937,0.56004155,26,False
B01AQ6OWAG,SAMSUNG TV Remote Control BN59-01199F by Samsung,69,Televisions & Video Products,9.4,0.0,4.7,24430,True,47.486958,0,False,True,https://m.media-amazon.com/images/I/51B8cZ2Lh8L._AC_UL320_.jpg,https://www.amazon.com/dp/B01AQ6OWAG,budget,low,0.0,0.84694815,0.46582147,70,False
B00DW54URO,Dukal 100 Large Wax Waxing Wood Body Hair Removal Sticks Applicator Spatula,135,Health & Household,4.69,0.0,4.8,0,True,0.0,10000,True,True,https://m.media-amazon.com/images/I/81nWyNYcRQL._AC_UL320_.jpg,https://www.amazon.com/dp/B00DW54URO,budget,high,0.33333334,0.0,0.18333334,60,False
B082FTMVJ8,"Rechargeable Eyebrow Trimmer & Facial Hair Remover for Women, 2 in 1 Eyebrow Razor and Painless Lips Body Facial Hair Removal with Built-in LED Light",53,Shaving & Hair Removal Products,15.99,0.0,4.4,31433,True,45.56484,2000,False,True,https://m.media-amazon.com/images/I/711WVOKeq-L._AC_UL320_.jpg,https://www.amazon.com/dp/B082FTMVJ8,mid,high,0.06666667,0.81719583,0.47612438,73,False
