product_id,product_title,category_id,category_name,price,list_price,rating,review_count,has_rating,weighted_score,units_sold_last_month,is_best_seller,has_title,image_url,product_url,price_segment,popularity_tier,llm_brand_guess,llm_product_type,llm_attributes_json,llm_keywords_json,llm_title_clean,llm_model,created_at_utc,llm_error
B001PPE7AS,Bee's Oil Salad Bowl & Wood Conditioner - 8 Oz. Tub - Holland Bowl Mill,167,Household Cleaning Supplies,21.95,0.0,4.8,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/418fQInOmNL._AC_UL320_.jpg,https://www.amazon.com/dp/B001PPE7AS,premium,medium,,,,,,,,
B078KGG99H,"UNIQOOO 12PCS Metallic Gold Sliver Christmas Champagne Wine Gift Bags Bulk with Gift Tags, Polka Dots Single Bottle Paper Tote, For Holidays New Year Anniversary Housewarming Gift Packing Decor, Wedding Birthday Party Favor,14 x 4.75 Inch",12,Gift Wrapping Supplies,16.98,0.0,4.7,0,True,0.0,50,False,True,https://m.media-amazon.com/images/I/71KSrVBxDfL._AC_UL320_.jpg,https://www.amazon.com/dp/B078KGG99H,mid,high,,,,,,,,
B07YQ8TFWN,Leisure Coachworks 4-Pack White RV T-Style Door Holder Entry Door Catch fits RV Trailer Camper Exterior Door Hold Hook & Keeper Hardware (4-Pack),27,RV Parts & Accessories,11.99,0.0,4.4,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/71pIn5+gomL._AC_UL320_.jpg,https://www.amazon.com/dp/B07YQ8TFWN,budget,medium,,,,,,,,
B07ZS244J2,Star Wars the Clone Wars: Republic Heroes - Nintendo Wii (Renewed),244,"Wii Games, Consoles & Accessories",14.87,27.0,3.8,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/91QVg5ianoL._AC_UY218_.jpg,https://www.amazon.com/dp/B07ZS244J2,mid,medium,,,,,,,,
B07DCKLTP2,100 Pcs Mixed Colors - Chosen by Random 2x3 Sheer Drawstring Organza Bags Jewelry Pouches Wedding Party Favor Gift Bags Gift Bags Candy Bags [Kyezi Design and Craft],12,Gift Wrapping Supplies,9.99,0.0,4.4,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/81UHP9REaWL._AC_UL320_.jpg,https://www.amazon.com/dp/B07DCKLTP2,budget,low,,,,,,,,
B0B1QSQM6X,Unisex Baby Zing Iii Fleece,84,Boys' Clothing,31.95,0.0,4.8,6,True,9.340368,0,False,True,https://m.media-amazon.com/images/I/71bKE69-pDL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B1QSQM6X,premium,low,,,,,,,,
B09VX37LVZ,"Cat Litter Scooper with Holder, Cat Litter Shovel with Waste Can and Refill 135 Bags(9 Boxes of 15 Bags), Large Capacity Cat Scooper Portable Litter Shovel, Cat Litter Sifter Scoop System with Bags",179,Cat Supplies,19.99,0.0,3.7,324,True,21.400154,200,False,True,https://m.media-amazon.com/images/I/71D8GdgSExL._AC_UL320_.jpg,https://www.amazon.com/dp/B09VX37LVZ,mid,high,,,,,,,,
B0BCP17SYS,"ADOGGYGO Christmas Cat Collars Breakaway with Stylish Bow, 2 Pack Red Green Plaid with Snowflake Christmas Kitten Collar with Bell, Removable Bowtie Cat Christmas Collar for Cats Kittens",179,Cat Supplies,9.99,0.0,4.6,114,True,21.826687,0,False,True,https://m.media-amazon.com/images/I/811gGan+-fL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BCP17SYS,budget,medium,,,,,,,,
B077957RN7,30pcs 2.54mm Black Jumper Caps Standard Circuit Board Jumper Cap Shunts Short Circuit Connection Pin Blocks,149,Electronic Components,5.48,0.0,4.6,0,True,0.0,100,False,True,https://m.media-amazon.com/images/I/61SAu8ITdNL._AC_UL320_.jpg,https://www.amazon.com/dp/B077957RN7,budget,high,,,,,,,,
B0BZTFFCDT,"Fantastic Buys, Balloon Arch Kit Stand with Water Fillable Base, Adjustable Size Round Balloon Stand for Weddings Birthday Baby Shower Gender Reveal or Graduation – 9 Ft x 10 Ft",13,Party Decorations,22.99,31.99,3.5,3,True,4.8520303,0,False,True,https://m.media-amazon.com/images/I/61HionDz12L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BZTFFCDT,premium,low,,,,,,,,
B09GRR12YR,"USB C Hub, 7 in 1 USB C to 4k or 2K HDMI Port, SD Micro SD 2.0 Slot, 3 USB A Ports, Power Delivery Type C Charging Port, Docking Station MacBook Pro XPS More Type C Devices",60,Computer Networking,26.23,31.99,4.4,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/51bSB6to-BL._AC_UL320_.jpg,https://www.amazon.com/dp/B09GRR12YR,premium,medium,,,,,,,,
B09KZRZDVD,"Wrench Roll Up Pouch, Hand Tool Roll Up Bag Ultility Tool Organizer with Variation of 6/8/10/12//25 Pockets (6 Pockets)",173,Home Storage & Organization,8.99,0.0,5.0,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/718iYhYh0iL._AC_UL320_.jpg,https://www.amazon.com/dp/B09KZRZDVD,budget,medium,,,,,,,,
